<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20260115,045500,1.16397,1.16404,1.1637,1.16376,4187
20260115,050000,1.16375,1.16396,1.16372,1.16386,3677
20260115,050500,1.16384,1.16393,1.16372,1.16375,4288
20260115,051000,1.16375,1.16399,1.16373,1.16397,2635
20260115,051500,1.16397,1.1641,1.16386,1.16405,2307
20260115,052000,1.16405,1.1641,1.16382,1.16386,2691
20260115,052500,1.16385,1.16394,1.16375,1.16376,2504
20260115,053000,1.16377,1.16383,1.16366,1.16369,2360
20260115,053500,1.16371,1.16376,1.1636,1.16368,2524
20260115,054000,1.16368,1.1638,1.16358,1.1637,2474
20260115,054500,1.1637,1.164,1.16368,1.16388,2103
20260115,055000,1.16388,1.16403,1.16381,1.16398,1738
20260115,055500,1.16399,1.16403,1.1639,1.16399,1746
20260115,060000,1.16399,1.16405,1.16391,1.164,1696
20260115,060500,1.164,1.16402,1.1638,1.16385,1844
20260115,061000,1.16385,1.16393,1.1638,1.16382,1409
20260115,061500,1.16384,1.1639,1.1637,1.16374,1673
20260115,062000,1.16374,1.16385,1.16365,1.16377,2121
20260115,062500,1.16377,1.1639,1.16373,1.16377,2608
20260115,063000,1.16377,1.16398,1.16374,1.16395,2509
20260115,063500,1.16397,1.16398,1.16383,1.16391,2993
20260115,064000,1.1639,1.16405,1.16386,1.164,2085
20260115,064500,1.164,1.16415,1.16398,1.16413,1900
20260115,065000,1.16413,1.16415,1.16385,1.16388,2121
20260115,065500,1.16388,1.16391,1.1637,1.16373,1569
20260115,070000,1.16373,1.16391,1.16369,1.16386,2061
20260115,070500,1.16385,1.16394,1.16373,1.16376,1924
20260115,071000,1.16376,1.1639,1.16368,1.1638,1676
20260115,071500,1.1638,1.16384,1.16358,1.16361,1498
20260115,072000,1.16363,1.16363,1.16348,1.16352,1622
20260115,072500,1.16352,1.16355,1.16341,1.16351,1403
20260115,073000,1.16349,1.16355,1.16347,1.16352,1528
20260115,073500,1.16352,1.1636,1.1635,1.16357,1440
20260115,074000,1.16357,1.16367,1.1635,1.16359,1510
20260115,074500,1.16359,1.1637,1.16356,1.16362,1476
20260115,075000,1.16362,1.16365,1.16352,1.16359,1396
20260115,075500,1.16359,1.1636,1.1634,1.16342,1512
20260115,080000,1.16342,1.16354,1.16339,1.16345,1331
20260115,080500,1.16345,1.1636,1.16333,1.16356,2465
20260115,081000,1.16355,1.1638,1.16355,1.16377,1658
20260115,081500,1.16375,1.1638,1.16362,1.16366,2183
20260115,082000,1.16366,1.16375,1.1636,1.16369,1760
20260115,082500,1.16369,1.16371,1.16357,1.16358,1854
20260115,083000,1.16358,1.16374,1.16357,1.16368,2034
20260115,083500,1.16369,1.16374,1.1635,1.16358,2330
20260115,084000,1.16356,1.1636,1.1635,1.16353,1525
20260115,084500,1.16354,1.16362,1.1635,1.16357,1759
20260115,085000,1.16356,1.16365,1.16354,1.1636,2014
20260115,085500,1.16358,1.16373,1.16355,1.16362,2356
20260115,090000,1.16362,1.16371,1.16344,1.1635,4092
20260115,090500,1.1635,1.16375,1.16344,1.16371,4618
20260115,091000,1.16371,1.16381,1.16363,1.16379,2854
20260115,091500,1.16378,1.16384,1.16337,1.16338,2994
20260115,092000,1.16338,1.16352,1.16329,1.16334,3772
20260115,092500,1.16334,1.16357,1.1633,1.16356,3326
20260115,093000,1.16356,1.16359,1.1634,1.16348,2738
20260115,093500,1.16348,1.16351,1.16333,1.16337,3267
20260115,094000,1.16337,1.1635,1.1633,1.16336,2710
20260115,094500,1.16336,1.16347,1.16296,1.163,3101
